,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
44,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.0,0.0,0.0,0.023458537343565,0.0281289208540107,0.0515874581975757,0.0515874581975757,suffixArray,0,True,False,False,True,62.525971739157505,19.561193367999863,-0.0,-0.0
122,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.027261258989344,0.0031967938394219,0.0304580528287659,0.023458537343565,0.0281289208540107,0.0515874581975757,0.0820455110263417,suffixArray,10,True,False,False,True,50.75639093573376,10.791067164046943,-0.0,-0.0
230,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.049967505434114,0.0058278756044058,0.0557953810385198,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.1112444512033711,suffixArray,20,True,False,False,False,43.11524104278838,7.147396894626555,1.119175791940326,-0.0
308,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.074951258151171,0.0087418134066087,0.0836930715577797,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.139142141722631,suffixArray,30,True,False,False,False,38.02426532511867,5.759043097422676,2.6716786294382606,-0.0
386,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.099935010868228,0.0116557512088116,0.1115907620770397,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.167039832241891,suffixArray,40,True,False,False,False,34.09624644322044,4.81116961852062,3.6788429413327948,-0.0
464,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.124918763585285,0.0145696890110145,0.1394884525962996,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.1949375227611509,suffixArray,50,True,False,False,False,30.973543267818577,4.122851765851849,4.385079192361937,-0.0
542,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.149902516302342,0.0174836268132174,0.1673861431155595,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.2228352132804108,suffixArray,60,True,False,False,False,28.431525760656058,3.600317383791923,4.907727760052368,-0.0
620,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.174886269019399,0.0203975646154203,0.1952838336348194,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.2507329037996707,suffixArray,70,True,False,False,False,26.321999679247792,3.1901098772289798,5.31014046117529,-0.0
698,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.1998700217364561,0.0233115024176233,0.2231815241540794,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.2786305943189306,suffixArray,80,True,False,False,False,24.54324403917577,2.8595248021672943,5.6295277314328045,-0.0
776,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.2248537744535131,0.0262254402198262,0.2510792146733393,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.3065282848381906,suffixArray,90,True,False,False,False,23.02311816966178,2.587430599127757,5.889181396140515,-0.0
